Data Management,Amex,Mastercard,Visa
"Kings Cross Station, Unit M6, N1C 4AL",9447911637,1510574,1510574
"Canary Wharf, 385 Cabot Place, E14 4QS",9447911819,1510596,1510596
"Leeds Trinity Shopping Centre, Unit K27, LS1 5AT",9421724626,1510560,1510560
"Embankment, 34 Villiers Str, WC2N 6NJ",9447911751,1510547,1510547
"Fleet Street, EC4 1EU",9447911611,1524488,1524488
"Kingsway, 19, WC2B 6UN",9447911850,1510599,1510599
"High Holborn, Chancery Lane, 14-18, EC1N 2LE",9447911843,1510595,1510595
"Warren Street, 127 Tottenham Court Rd, W1T 5AU",9447911793,1510592,1510592
"Brompton Road, unit 4, 56-58, SW3 1BW",9447911835,1510591,1510591
"Piccadilly, 42, W1J 0DS",9447911710,1510589,1510589
"Waterloo Station, Unit 45, SE1 8SW",9447911777,1510588,1510588
"Liverpool St Station, Kiosk 3, EC2M 7PY",9447911652,1510587,1510587
"Regent Place, 350 Euston Road, NW1 3AX",9447911728,1510586,1510586
"Hammersmith Broadway, 28, Hammersmith Broadway Shopping Centre W6 9YE",9447911629,1510584,1510584
"West One, 381 Bond Street Station, G7, W1K 5JN",9447911785,1510583,1510583
"Paternoster, Unit 6, St Martin's Court, EC4M 7EJ",9447911702,1510582,1510582
"One New change, Units SU43/44, EC4M 9AF",9447911678,1510581,1510581
"Victoria Station, Unit 31, SW1V 1JU",9447911744,1510578,1510578
"Shaftesbury Avenue, 33, W1D 7EH",9447911736,1510576,1510576
"High Holborn, 116, WC1V 6RD",9447911603,1510575,1510575
"Hammersmith King's Mall, Unit 25/26, W6 9HW",9447875683,1510573,1510573
"The Strand, Unit B, WC2R 0LT",9447875675,1510571,1510571
"Bluewater Shopping Centre, DA9 9ST",9447875634,1510570,1510570
"South Kensington, 21 Old Brompton rd, SW7 3HZ",9421717158,1510568,1510568
"Kensington Arcade, Kensington High Str, W8 5SF",9421721788,1510567,1510567
"Tottenham Court Rd, 6-17, Unit 4, W1T 1BG",9422065326,1510565,1510565
"Leeds Albion Str, Unit 202, LS1 5AY",9421724592,1510561,1510561
"Old Compton Street, 39, W1D 5JY",9449286988,1510555,1510555
"Cambridge, Petty Curry, 23-23a, CB2 3NB",9449137702,1510558,1510558
"Oxford Street 293, W1C2DX",9449137728,1510553,1510553
"Lakeside, Unit 403-404 Food Court, RM20 2ZP",9608344594,1510554,1510554
"St Pancras, 6 Pancras Sq, Kings Cross, N1C 4AG",9449137736,1510559,1510559
"Borough High Street, 59-61, SE1 1NE",9449137678,1510556,1510556
"Luton Airport, Departure Lounge, Unit 5, LU2 9LY",9449137710,1510557,1510557
"The 02 London, Unit 16, 1-34, SE10, 0DY",9447911868,1510562,1510562
"Birmingham New Street Station, B2 4QA",9449286962,1510552,1510552
"Lime Street, 23, EC3M 7HB",9449801240,1510548,1510548
"Ealing Broadway Centre, Unit 12a-c, W5 5JY",9600281760,1510546,1510546
"Oxford Cornmarket Street 11-12, OX1 3EX",9449864867,1510545,1510545
"Camden High Road, 185, NW1 7JY",9601052913,1510543,1510543
"Cambridge, 3 One Station Square, CB1 2GA",9601447675,1510541,1510541
"Paddington Station, Unit 12, The Lawn, W2 1HA",9602941395,1510540,1510540
"Russel Square, 3 Bernard Street, WC1N 1LJ",9603192212,1510539,1510539
"London Bridge, Unit SU75, Tooley Str, SE1 2TF",8175325539,1510538,1510538
"Victoria Street, 161, SW1E 5NA",8175325547,1510537,1510537
"Bishopsgate, 186-190, EC2M 4NR",8349889493,1550232,1550232
